Title,Episodes,ImdbRating,Year,Countries,OriginalLanguage,Overview
AJ and the Queen,10,74,2020,['US'],en,"While traveling across the country in a run-down RV, drag queen Ruby Red discovers an unlikely sidekick in AJ: a tough-talking 10-year-old stowaway."
AMO,13,65,2018,['PH'],tl,"Despite the Philippine government's crackdown on narcotics, high schooler Joseph expands his drug running while his cop uncle profits from corruption."
Abby Hatcher,64,56,2018,['US'],en,"Abby Hatcher is part girl, part superhero; living in a world full of fuzzlies. When a fuzzly friend needs help, Abby takes action – going on a mission to make things right."
Abstract: The Art of Design,14,83,2017,['US'],en,Step inside the minds of the most innovative designers in a variety of disciplines and learn how design impacts every aspect of life.
Absurd Planet,12,39,2020,['US'],en,"A cast of quirky critters and Mother Nature herself narrate this funny science series, which peeks into the lives of Earth's most incredible animals."
Action Pack,16,63,2022,['US'],en,"The heroic kids of the Action Academy take on the bad guys with their hearts, their wits and their superpowers, and bring out the best in them."
Ad Vitam,6,64,2018,['FR'],fr,"In a future where regeneration technology lets humans live indefinitely, a cop and a troubled young woman investigate a strange wave of youth suicides."
"Ada Twist, Scientist",12,65,2021,['US'],en,Pint-sized scientist Ada Twist and her two best friends are asking big questions — and working together to discover the truth about everything!
Adventure Beast,12,52,2021,['US'],en,"A brave zoologist, his spunky niece and anxious assistant explore the world while saving wild beasts in this adult animated educational-comedy series."
Adventures of Sonic the Hedgehog,65,62,1993,['US'],en,"Follow the adventures of Sonic the Hedgehog, and his sidekick Tails, as they attempt to stop Dr. Robotnik and his array of robots from taking over the planet Mobius."
Afflicted,7,51,2018,['BR'],en,Baffling symptoms. Controversial diagnoses. Costly treatments. Seven people with chronic illnesses search for answers -- and relief.
Afronta! Facing It!,1,74,2017,['BR'],pt,"This docuseries spotlights Afro-Brazilian thinkers sharing their individual journeys and discussing representation, entrepreneurship and community."
After Life,18,84,2019,['GB'],en,"Tony had a perfect life. But after his wife Lisa suddenly dies, Tony changes. After contemplating taking his own life, he decides instead to live long enough to punish the world by saying and doing whatever he likes from now on."
Age of Samurai: Battle for Japan,6,74,2021,['US'],en,Dynamic reenactments and expert commentaries bring to life the tumultuous history and power struggles of a warring 16th-century feudal Japan.
Ainori Love Wagon: African Journey,22,73,2020,[],ja,"To find love, seven strangers leave Japan and embark on a journey through the African continent."
Alba,13,64,2021,['ES'],es,Alba wakes up on a beach after a rape she doesn't remember. And then she discovers that her rapists are friends of her lover.
